run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-080028	aquatic	1	17948	2033948	200	PLUMP_HELMET_MAN	FEMALE	2	168	29	4,30,-1,20,-1,14	cavern	22371	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	201	BIRD_SWALLOW_CAVE_GIANT	FEMALE	157	184	62	3,31,-1,2,-1,18	cavern	23479	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	202	DEMON_14	DEFAULT	177	3	3	4,29,-1,38,-1,5	cavern	22264	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	203	DEMON_14	DEFAULT	187	0	0	4,29,-1,38,-1,5	cavern	23870	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	204	DEMON_14	DEFAULT	184	0	0	4,29,-1,38,-1,5	cavern	23407	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	162	TROLL	FEMALE	21	7	48	3,31,-1,2,-1,26	cavern	18877	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	163	MAGMA_CRAB	MALE	36	16	16	4,31,-1,29,-1,0	cavern	22139	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	164	MAGMA_CRAB	MALE	34	11	16	4,31,-1,29,-1,0	cavern	24934	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	165	MAGMA_CRAB	MALE	31	8	16	4,31,-1,29,-1,0	cavern	19438	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	166	DEMON_15	FEMALE	152	36	2	4,30,-1,38,-1,0	cavern	22217	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	167	DEMON_15	MALE	153	22	3	4,30,-1,38,-1,0	cavern	20712	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	168	DEMON_15	FEMALE	169	12	3	4,30,-1,38,-1,0	cavern	23258	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	169	DEMON_15	FEMALE	177	6	3	4,30,-1,38,-1,0	cavern	27812	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	170	JABBERER	MALE	20	149	30	4,31,-1,20,-1,21	cavern	21866	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	181	CROCODILE_CAVE	FEMALE	131	186	53	4,30,-1,2,-1,9	cavern	27808	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	191	BIRD_OSPREY	FEMALE	122	16	101	4,31,-1,-1,-1,52	surface	27913	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	192	REACHER	MALE	28	168	31	3,31,-1,20,-1,27	cavern	22313	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	193	WEASEL	MALE	130	29	91	4,31,-1,-1,-1,51	surface	26739	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	194	OLM_GIANT	FEMALE	182	164	38	4,30,-1,11,-1,12	cavern	26396	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	195	OLM_GIANT	FEMALE	6	178	55	3,31,-1,2,-1,10	cavern	25917	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	196	PLUMP_HELMET_MAN	FEMALE	22	159	30	4,30,-1,20,-1,14	cavern	28236	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	197	PLUMP_HELMET_MAN	MALE	22	161	30	4,30,-1,20,-1,14	cavern	22311	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	198	PLUMP_HELMET_MAN	MALE	23	161	30	4,30,-1,20,-1,14	cavern	21680	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	199	PLUMP_HELMET_MAN	FEMALE	9	169	29	4,30,-1,20,-1,14	cavern	25129	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	200	PLUMP_HELMET_MAN	FEMALE	8	167	29	4,30,-1,20,-1,14	cavern	22072	0	1	0	0	0	-1	0	1
